# hven M6 W2 T4 fix round 1 -- the R4 gate, measured BOTH ways at the fix head.
# commit: a14ad96539ceee42331a0e0c72586f2239e46ada (the code head measured; evidence docs commit ed617c8)
# stamp corrected at ledger close: the original stamp named a dangling pre-amend docs commit whose code tree is a14ad96's
# toolchain: clang version 22.1.8 (Fedora 22.1.8-4.fc44); CMake Debug and Release, one uniform flag regime
# hardware: x86_64, Linux 7.1.9-200.fc44.x86_64
# backend: Intel MKL Pardiso, MKL_NUM_THREADS=1 OMP_NUM_THREADS=1, one process at a time
# date: 2026-09-02
# switch: r4-switch.patch in this directory (applied for measurement only, NOT in the tree).
#   HVEN_T4_OFF=1 suppresses every candidate at every request site (the OFF arm);
#   unset is the shipped behaviour (the ON arm). The patch also prints, per request,
#   the site and h(entry)/h(candidate) on BOTH scales.
# columns: h_* are the CALLER-scale violations the guard compares; h_*_engine are the
#   engine-scale ones the old (pre-fix) guard compared. status: 0 kOptimal, 1 kMaxIter,
#   2 kInfeasible, 3 kNumericalError. A cell with no request has site '-'.
# VERDICT: no cell is WORSE with the candidate ON. status, certified,
#   restoration_iters, factorizations and major_iters are IDENTICAL between the arms on
#   all 84 fixture x config x mode cells. Two columns move, both as designed: the eval
#   accounting (+1 evals_full at a guarded elastic site, +1/-1 on a taken trial) and
#   qp_minor_iters, which moves on SOME taken cells because the restoration sub-solve
#   starts from a different point on the SAME active-set path (see the fix-round report's
#   F14 answer: the sub-solve spends the same 5 majors and 5 factorizations from either
#   start and reaches the same restored point; only the minors along the path move).
fixture,config,mode,site,h_entry,h_candidate,h_entry_engine,h_candidate_engine,decision,status_on,certified_on,restoration_iters_on,factorizations_on,major_iters_on,evals_full_on,evals_values_on,qp_minor_iters_on,status_off,certified_off,restoration_iters_off,factorizations_off,major_iters_off,evals_full_off,evals_values_off,qp_minor_iters_off
box_blocked_eq,debug,ipm,none,4,nan,4,nan,none,2,1,1,84,2,5,0,33,2,1,1,84,2,5,0,33
box_blocked_eq,debug,ssn,none,4,nan,4,nan,none,2,1,1,13,2,5,0,41,2,1,1,13,2,5,0,41
box_blocked_eq,debug,walk,none,4,nan,4,nan,none,2,1,1,5,2,5,0,41,2,1,1,5,2,5,0,41
box_blocked_eq,release,ipm,none,4,nan,4,nan,none,2,1,1,84,2,5,0,33,2,1,1,84,2,5,0,33
box_blocked_eq,release,ssn,none,4,nan,4,nan,none,2,1,1,13,2,5,0,41,2,1,1,13,2,5,0,41
box_blocked_eq,release,walk,none,4,nan,4,nan,none,2,1,1,5,2,5,0,41,2,1,1,5,2,5,0,41
circle_ineq,debug,ipm,-,nan,nan,nan,nan,-,0,0,0,61,13,14,2,43,0,0,0,61,13,14,2,43
circle_ineq,debug,ssn,-,nan,nan,nan,nan,-,0,0,0,68,13,14,1,4,0,0,0,68,13,14,1,4
circle_ineq,debug,walk,-,nan,nan,nan,nan,-,0,0,0,22,13,14,2,43,0,0,0,22,13,14,2,43
circle_ineq,release,ipm,-,nan,nan,nan,nan,-,0,0,0,61,13,14,2,43,0,0,0,61,13,14,2,43
circle_ineq,release,ssn,-,nan,nan,nan,nan,-,0,0,0,68,13,14,1,4,0,0,0,68,13,14,1,4
circle_ineq,release,walk,-,nan,nan,nan,nan,-,0,0,0,22,13,14,2,43,0,0,0,22,13,14,2,43
circle_line_asym,debug,ipm,trial,1.0014331960134732,1.0014331957806426,1.0014331960134732,1.0014331957806426,TAKEN,2,1,5,1914,61,28,41,1685,2,1,5,1914,61,27,42,1685
circle_line_asym,debug,ssn,trial,1.0014331960134732,1.0014331957806426,1.0014331960134732,1.0014331957806426,TAKEN,2,1,5,2144,61,28,41,1736,2,1,5,2144,61,27,42,1736
