# M6 W2 T7 -- THE CORPUS REACHABILITY SWEEP (plan section 7 R5, the mitigation
# task). QUESTION: does ANY natural F7 corpus configuration reach the elastic
# tier end to end -- (a) a walk kInfeasible, (b) an SSN kInfeasibleSuspect,
# (c) the certified fallback's rung A, (d) its rung B, (e) restoration seeded
# from the elastic point? ANSWER: NO, on 1200 cells. Every row below is
# Optimal, every escape column is 0, and no elastic ladder is activated
# anywhere. T7 is therefore NOT a gate and plan section 6's F-1..F-4 stand as
# the coverage, exactly as W1 reported for its own section 6.2 stall test
# (2026-08-m6-ledger.md :794-796). NO DETECTOR WAS MOVED AND NO WINDOW WAS
# SHORTENED to make a cell fire, and no new baseline directory is created:
# there is nothing new to pin.
#
# THE GRID, stated so the negative result is falsifiable. Generators, starts,
# options and budgets are the corpus's OWN (bench/corpus_cells.h's
# make_model / options_for_cell / physics_informed_start / run_cell_engine);
# only the (N, p) pairs are swept beyond the committed census.
#   family     F7CollocationChain (kF3 has no window split and no path rows)
#   N          10, 20, 40, 100, 200 (all arms) + 400 (kIpm only)
#   p          0.02 0.05 0.20 0.30 0.45 0.5001 0.55 0.68 0.75 0.85 0.90 0.95
#              0.99 0.999 0.9999 -- the empty-window regime (p <= R/2), the
#              sub-interval regime, and p -> R where node 0's path row joins
#              the active set and LICQ degrades. p >= R is refused by the
#              family's own design-range guard and is not a configuration.
#   taxonomy   all five (kNeutralCold, kPhysicsInformed, kCorrupted,
#              kActivityOnly, kFullWarm); p0 = p - 0.05 for the two that hop.
#   arm        kWalk, kSsn, kIpm
#   cells      450 (kIpm) + 375 (kWalk) + 375 (kSsn) = 1200
#
# WHY IT COMES OUT EMPTY, at source: F7's equality block is the collocation
# chain, whose Jacobian has full row rank at every point of the box, and its
# inequality block is one-sided path rows the control box can always slacken.
# No linearization the family can produce is inconsistent, at any p in the
# design range, so the tier's kInfeasibleSuspect signal never fires and the
# walk never certifies a subproblem kInfeasible.
#
# COLUMNS. `act`, `aFrE`, `rngB`, `disp`, `rest` and `seed` are read off
# SqpCounters for the two COLD taxonomies (which the sweep runs directly) and
# are "-" for the three hand-off taxonomies, which go through the corpus
# runner and report the 76-column row instead; `esc`/`susp`/`ssnS` are
# present on every row and are what census points (b) and (c) turn on.
#
# THIS IS A REACHABILITY CENSUS, NOT A TIMING ARTIFACT: every column is a
# deterministic per-process counter or status and no wall-clock is recorded,
# so CLAUDE.md section 7's serial rule does not bind it. It was nonetheless
# taken solo, one process at a time, `taskset -c 2`, MKL_NUM_THREADS=1,
# OMP_NUM_THREADS=1.
# Machine: AMD Ryzen 7 5800X3D, Fedora 44, clang 22.1.8, MKL from
# /opt/intel/oneapi/mkl/latest, Release, the uniform flag regime.
# THE BINARY IS NOT `hven_sqp_corpus`. The corpus binary replays the committed
# 57-cell census only, and the census's own (N, p) pairs are two points of the
# grid above; this sweep therefore runs `reachability-sweep.cpp` (committed
# beside this file), a scratch TU that includes bench/corpus_cells.h and calls
# the corpus's own runner, linked against the Release libhven.a of the tree
# named below. `src/` and `include/` in that tree differ from BASE 99aedaf by
# one comment line only.
# commit: c8df3147c7f9106ff3f8605b26fb71c1bad56739
# generated: 2026-09-03
#
# ---------------------------------------------------------------------------
# CORRECTION, 2026-09-04 (M6 W2 T7 fix round 1, item B1). THE DATA BELOW IS
# UNCHANGED AND IS THE PIN; this block corrects what the header above SAYS
# about it, which three reviewers recomputed and found false in one clause.
# Nothing above this line is edited and no row is touched -- a provenance
# header records what ran, and rewriting one would be the silent pin mutation
# CLAUDE.md section 7 forbids.
#
# WRONG: "every escape column is 0". NINE kIpm rows carry ipqp_escapes = 1 --
#   (100,0.68,physics) (100,0.75,neutral) (100,0.9999,corrupted)
#   (200,0.68,warm) (200,0.85,neutral) (200,0.9,corrupted)
#   (200,0.9999,warm) (400,0.9,corrupted) (400,0.9,warm).
# RIGHT, and it is the column the census turns on:
#   ipqp_escape_infeasible_suspect == 0 on all 450 kIpm rows, and on all 1200;
#   ssn_escape_infeasible_suspect == 0 on all 1200; elastic_activations == 0
#   on every row that carries it; status == Optimal on all 1200. Rung A is
#   entered IFF the evidence fired, so nine escapes with the evidence UNFIRED
#   take pin P5's branch (W1's cold walk, no activation charged) and are NOT
#   census point (c). The NEGATIVE RESULT IS UNAFFECTED.
#
# ALSO CORRECTED: the grid block says "only the (N, p) pairs are swept". The
# sweep also fixes ConstraintFamily (kPathInterface above p = 0.5, kBoundArc
# at or below), p0 = p - 0.05 for the taxonomies that hop, and
# degenerate = false -- see reachability-sweep.cpp's banner.
#
# AND THE REPRODUCER NOW REPRODUCES THESE BYTES. As committed at c8df314 its
# N grid could not emit the 75 kIpm N = 400 rows and it printed a fixed-width
# table rather than CSV. reachability-sweep.cpp beside this file restores the
# kIpm 400 leg (the walk/ssn arms stop at 200 under the sweep-budget rule,
# encoded with its reason) and writes CSV directly. Re-run solo on
# 2026-09-04, `taskset -c 2`, MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one arm at
# a time, against the fix-round-1 tree: all 1200 rows and the column header
# BYTE-IDENTICAL to the bytes below.
# ---------------------------------------------------------------------------
arm,n_nodes,p,taxonomy,status,ipqp_escapes,ipqp_escape_infeasible_suspect,ssn_escape_infeasible_suspect,elastic_activations,elastic_from_ipqp_escape,fallback_rung_b,suspicion_disproved,restoration_iters,restoration_seed_rows
ipm,10,0.02,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.02,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.02,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.02,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.02,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.05,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.05,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.05,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.05,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.05,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.2,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.2,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.2,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.2,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.2,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.3,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.3,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.3,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.3,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.3,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.45,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.45,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.45,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.45,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.45,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.5001,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.5001,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.5001,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.5001,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.5001,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.55,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.55,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.55,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.55,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.55,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.68,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.68,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.68,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.68,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.68,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.75,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.75,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.75,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.75,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.75,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.85,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.85,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.85,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.85,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.85,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.9,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.9,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.9,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.9,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.9,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.95,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.95,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.95,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.95,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.95,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.99,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.99,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.99,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.99,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.99,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.999,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.999,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.999,corrupted,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.999,activity,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.999,warm,Optimal,0,0,0,-,-,-,-,-,-
ipm,10,0.9999,neutral,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.9999,physics,Optimal,0,0,0,0,0,0,0,0,0
ipm,10,0.9999,corrupted,Optimal,0,0,0,-,-,-,-,-,-
